# PathPlanner CSV Format:
# timeSeconds, positionMeters, velocityMetersPerSecond, accelerationMetersPerSecondSq, headingDegrees, holonomicRotationDegrees, curvatureRadPerMeter, curveRadiusMeters, angularVelocityDegreesPerSec, angularAccelerationDegreesPerSecSq
 0.0,0.0,0,0.0,-36.59123900671515,-88.0,0.12256457056252841,8.158964661731776,0.0,0.0
 0.07582117310899361,0.01437212572905994,0.18955293277248403,2.5,-36.59123900671515,-88.368,0.12256457056252841,8.158964661731776,0.0,0.0
 0.10710590519142234,0.028679187317184877,0.4573176957510399,8.558959759445973,-36.69193784980962,-88.736,0.12441521127325413,8.03760239416137,-3.218785535038257,-102.88678600658719
 0.13102815762131625,0.04292094522409125,0.5953351570318467,5.769417477943518,-36.79369251506752,-89.104,0.1263096017608951,7.917054491969712,-4.253557040922633,-43.255605169992116
 0.1511253264099844,0.05709716070631084,0.7053837100782517,5.4758236945522505,-36.89652306636282,-89.472,0.12824902116124634,7.7973304665047625,-5.116668540559949,-42.946919972328836
 0.1687691865682251,0.07120759583725092,0.7997362824455232,5.3476150638840485,-37.000450040227896,-89.84,0.13023479359526263,7.678439627337618,-5.8902628411808795,-43.844957604678086
 0.1846640338862695,0.08525201352787322,0.8835830511362359,5.275091167156214,-37.10549445965389,-90.208,0.13226828978903596,7.560391092944278,-6.6087089308963805,-45.19993651652726
 0.19922869025116854,0.09923017754799014,0.9597318103435954,5.2283251523104095,-37.2116778484084,-90.576,0.13435092918164207,7.443193776858833,-7.290483626541935,-46.81021498650922
 0.21273631805427895,0.11314185254822834,1.02991252076362,5.195635491515687,-37.319022245767584,-90.944,0.13648418175766186,7.326856395531438,-7.946946638141097,-48.599429978963265
 0.22537684360435128,0.12698680408265056,1.0952829041465761,5.171492524104911,-37.427550221855434,-91.312,0.13866957014115017,7.211387465772854,-8.585717077818066,-50.533534950476394
 0.23728868378587992,0.1407647986320883,1.1566638184755782,5.152932997219336,-37.537284893426516,-91.68,0.14090867195081724,7.096795294111068,-9.212235045030262,-52.59623682524891
 0.2485764297983214,0.15447560362819954,1.2146627839605038,5.138223824402006,-37.64824994022491,-92.048,0.1432031218106273,6.983087989676693,-9.830576155424376,-54.77985682106697
 0.2593214125198845,0.1681189874782703,1.2697446057955162,5.126282960369388,-37.76046962195909,-92.416,0.14555461389166394,6.870273454500716,-10.443914582475058,-57.08137862519127
 0.2695883673980102,0.18169471959081135,1.3222744497947387,5.116399616320544,-37.873968795758955,-92.784,0.14796490437869067,6.758359383929802,-11.054803994676814,-59.50054514248331
 0.27942982689895635,0.19520257040195185,1.3725454857424189,5.108087468413298,-37.98877293437385,-93.152,0.15043581401608908,6.647353268504601,-11.665357013749075,-62.038869236169916
 0.2888891215692832,0.20864231140268027,1.4207973711705955,5.101002464754521,-38.104908144933034,-93.52,0.1529692308860879,6.537262390661252,-12.277364709177865,-64.6990834685186
 0.2980024933902101,0.22201371516695564,1.467229037398736,5.094894309208377,-38.22240118836859,-93.888,0.15556711330766554,6.428093822261117,-12.892378994761136,-67.48482314427457
 0.3068006228029676,0.2353165553807221,1.5120077904829459,5.089576543313819,-38.34127949958244,-94.256,0.15823149274571158,6.3198544275068285,-13.511771154613085,-70.40043750138719
 0.3153097568245345,0.2485506068718678,1.5552759490687584,5.084907403755415,-38.46157120828173,-94.62400000000001,0.16096447703414912,6.212550858583828,-14.136774481915241,-73.45087358103063
 0.3235525587234041,0.2617156456411548,1.597155788869849,5.080777181704915,-38.58330516057685,-94.992,0.16376825361427433,6.106189557075659,-14.768516068767001,-76.6416073809069
 0.3315487589445424,0.27481144889416587,1.637753294169871,5.0770996444912235,-38.70651094137292,-95.36,0.16664509286711388,6.000776757329542,-15.408040993066654,-79.97860316316815
 0.3393156613387024,0.2878377950743026,1.6771610507081147,5.073806073303408,-38.83121889754669,-95.72800000000001,0.16959735195390369,5.896318477141073,-16.05633106288809,-83.4682910794516
 0.34686854218673435,0.300794463896876,1.7154605088135924,5.070841030870657,-38.9574601619716,-96.096,0.17262747853043656,5.792820520307179,-16.71431960399752,-87.11755876314113
 0.35422096854045154,0.31368123638433915,1.7527237768179704,5.0681593003021055,-39.08526667842027,-96.464,0.1757380146021981,5.690288480062823,-17.382903316542695,-90.93375171410686
 0.3613850549774817,0.32649789490269393,1.7890150587948368,5.06572363355108,-39.2146712273931,-96.83200000000001,0.17893160074691025,5.588727736328977,-18.062951935357667,-94.92468087764799
 0.3683716727432393,0.3392442231991307,1.824391819301802,5.063503070162471,-39.34570745285745,-97.2,0.18221098055763274,5.48814345293369,-18.755316214173753,-99.09863427901561
 0.37519062165301964,0.35192000644094856,1.858905735990643,5.061471664546111,-39.47840988998712,-97.56800000000001,0.1855790051990914,5.388540578322359,-19.460834636748796,-103.46439486635924
 0.38185077255692174,0.36452503125579516,1.892603485524852,5.059607510464356,-39.612813993962455,-97.936,0.18903863808205845,5.2899238491440945,-20.18033914165379,-108.03126164655603
 0.3883601863081728,0.37705908577329705,1.9255273971627478,5.057891984753319,-39.74895616977777,-98.304,0.1925929601409604,5.192297783200859,-20.914660062766764,-112.80907147311657
 0.39472621380806283,0.38952195966812164,1.9577160002905907,5.056309154869187,-39.88687380321376,-98.67200000000001,0.19624517497805866,5.095666683839772,-21.664630483982346,-117.80822832269254
 0.4009555806842151,0.40191344420454067,1.9892044862307001,5.054845310308501,-40.02660529292633,-99.04,0.19999861447165052,5.0000346384486996,-22.43109010764817,-123.0397308272285
